"title" "year" "length" "budget"
"Dilemma" 1997 83 2500000
"Dill Scallion" 1999 91 500000
"Dillinger" 1945 70 193000
"Dimensia Minds Trilogy: The Reds" 2004 8 1200
"Diner" 1982 110 5000000
"Ding-a-ling-Less" 2001 81 1000000
"Dinner at Eight" 1933 113 435000
"Dinosaur" 2000 82 127500000
"Dinosaurus!" 1960 85 450000
"Diplomat, The" 2002 29 77000
"Diplomatic Siege" 1999 96 45000000
"Direct Order" 2003 55 500000
"Dirigible" 1931 100 650000
"Dirty Dancing" 1987 100 6000000
"Dirty Pretty Things" 2002 97 10000000
"Dirty Work" 1998 82 13000000
"Disappearance of Andy Waxman, The" 2004 25 30000
"Disc" 2003 105 2000
"Disciple, The" 1915 50 8000
"Disturbing Behavior" 1998 84 15000000
"Divine Reality" 2001 100 3000
"Divine Secrets of the Ya-Ya Sisterhood" 2002 116 27000000
"Divorce: The Musical" 2002 86 1500000
"Divorcee, The" 1930 82 340691
"Do the Right Thing" 1989 120 6500000
"Doctor Dolittle" 1967 145 18000000
"Doctor Dolittle" 1998 85 71500000
"Doctor Sleep" 2002 108 10000000
"Doctor Zhivago" 1965 200 11000000
"Dodgeball: A True Underdog Story" 2004 92 20000000
"Dog of Flanders, A" 1999 100 7000000
"Dogma" 1999 130 10000000
"Doki-Doki" 2003 34 5000
"Dom durakov" 2002 104 2500000
"Domestic Disturbance" 2001 91 53000000
"Dominion" 1995 95 1300000
"Don Giovanni" 1979 184 7000000
"Don Juan DeMarco" 1995 97 25000000
"Don't Call Me Frankie" 1993 70 40000
"Don't Look Back!" 2003 89 2300000
"Don't Say a Word" 2001 113 50000000
"Donde acaban los caminos" 2004 82 500000
"Dong er shi er tiao" 1997 14 2000
"Donnie Brasco" 1997 127 35000000
"Donnie Darko" 2001 133 4500000
"Donovan's Reef" 1963 109 2686585
"Doomed to Failure" 2004 7 1000
"Door-to-Door Maniac" 1961 80 100000
"Doors, The" 1991 140 38000000
"Doppelganger" 1993 104 3000000
"Dorm That Dripped Blood, The" 1981 84 90000
"Dorothy Vernon of Haddon Hall" 1924 135 750000
"Dot.Kill" 2004 87 6000000
"Double Impact" 1991 109 16000000
"Double Indemnity" 1944 110 927262
"Double Jeopardy" 1999 105 40000000
"Double Take" 2001 91 24000000
"Double Tap" 1997 87 8000000
"Double Whammy" 2001 100 4000000
"Doug's 1st Movie" 1999 77 5000000
"Down" 2001 110 15000000
"Down Time" 2001 90 20000
"Down and Out with the Dolls" 2001 88 1200000
"Down by Law" 1986 107 1100000
"Down to Earth" 2001 87 30000000
"Down to You" 2000 91 9000000
"Downtime" 1985 62 16000
"Dr T and the Women" 2000 122 12000000
"Dr. Dolittle 2" 2001 87 72000000
"Dr. Jekyll and Mr. Hyde" 1931 96 1140000
"Dr. Jekyll and Ms. Hyde" 1995 90 8000000
"Dr. Monica" 1934 53 167000
"Dr. No" 1962 110 1100000
"Dr. Phibes Rises Again" 1972 89 75000
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb" 1964 93 1800000
"Dracula" 1992 128 40000000
"Dracula 2000" 2000 99 28000000
"Drag" 1993 40 25000
"Drag Queen Heist" 2004 20 5000
"Dragnet" 1954 88 500000
"Dragon: The Bruce Lee Story" 1993 119 14000000
"Dragonfly" 2002 104 60000000
"Dragonslayer" 1981 109 18000000
"Dragonwyck" 1946 103 1900000
"Dragstrip Girl" 1957 69 100000
"Draw the Pirate" 2004 7 50000
"Dream on Silly Dreamer" 2005 40 65000
"Dream with the Fishes" 1997 97 1000000
"Dream-Quest of Unknown Kadath, The" 2003 100 5000
"Dreamaniac" 1986 82 60000
"Dreamcatcher" 2003 134 68000000
"Dreamer: The Movie" 2004 93 23500
"Dress, The" 1984 30 80000
"Dressed to Kill" 1980 104 6500000
"Drifting" 2004 21 3000
"Driftwood" 2003 20 5000
"Driller Killer, The" 1979 96 20000
"Drive" 1997 117 3500000
"Drive Me Crazy" 1999 91 8000000
"Drive-in Movie Memories" 2001 57 225000
"Driven" 2001 116 72000000
"Driving Miss Daisy" 1989 99 7500000
"Drop Back Ten" 2000 93 600000
"Drop Squad" 1994 86 2000000
"Drop Zone" 1994 101 45000000
"Drowning Mona" 2000 95 16000000
"Drugstore Cowboy" 1989 100 2500000
"Drum" 2004 94 3600
"Drumline" 2002 118 20000000
"Du Barry Was a Lady" 1943 101 1239222
"Duck, Duck, Goose!" 2005 21 20000
"Dude, Where's My Car?" 2000 83 13000000
"Dudley Do-Right" 1999 77 22000000
"Due occhi diabolici" 1990 120 9000000
"Duel at Apache Wells" 1957 69 150000
"Duel in the Sun" 1946 144 8000000
"Duellists, The" 1977 95 900000
"Duets" 2000 112 15000000
"Dumb & Dumber" 1994 101 16000000
"Dumb and Dumberer: When Harry Met Lloyd" 2003 85 19000000
"Dumbo" 1941 64 950000
"Dune" 1984 190 45000000
"Dungeons & Dragons" 2000 107 35000000
"Duplex" 2003 89 40000000
"Dusting Cliff 7" 1996 95 1300000
"Dying Gaul, The" 2005 101 4000000
"DysFunktional Family" 2003 89 3000000
"E-mail" 2000 109 1000000
"E.T. the Extra-Terrestrial" 1982 120 10500000
"Eagle Has Landed, The" 1976 131 6000000
"Earl's Your Uncle" 2004 19 10000
"Earth Girls Are Easy" 1988 100 10000000
"Earthquake" 1974 140 7000000
"East of Hope Street" 1998 88 100000
"Easter Parade" 1948 107 2503654
"Easy Rider" 1969 94 340000
"Eat My Dust!" 1976 89 300000
"Eating" 2005 13 60000
"Eating Out" 2004 90 50000
"Eating Raoul" 1982 87 350000
"Eban and Charley" 2000 86 30000
"Ed Mort" 1997 102 1500000
"Ed Wood" 1994 127 18000000
"Ed and His Dead Mother" 1993 86 1800000
"Eddie" 1996 100 30000000
"Edge of Eternity" 1959 80 700000
"Edgeplay" 2004 110 80000
"Edges of the Lord" 2001 95 7500000
"Edmund" 2004 18 10000
"Edtv" 1999 122 60000000
"Edward Scissorhands" 1990 105 20000000
"Eegah" 1962 90 15000
"Egyptian, The" 1954 139 5000000
"Ehad Mishelanu" 1989 110 500000
"Eight Legged Freaks" 2002 99 30000000
"Eight Men Out" 1988 119 6000000
"Eighteenth Angel, The" 1998 95 25000000
"El Cid" 1961 182 6250000
"Election" 1999 103 8500000
"Elegante, El" 2003 17 2500
"Elektra" 2005 96 43000000
"Elephant" 2003 81 3000000
"Elephant Man, The" 1980 124 5000000
"Elephant's Egg, The" 2004 15 30000
"Elevator Movie" 2004 95 25000
"Elf" 2003 95 33000000
"Elizabeth" 1998 124 25000000
"Ella Enchanted" 2004 96 35000000
"Elliot Flies" 2003 13 1000
"Elmer Gantry" 1960 146 3000000
"Elvira's Haunted Hills" 2001 90 1500000
"Elvira, Mistress of the Dark" 1988 96 20000000
"Embalmer, The" 1996 85 50000
"Embrace of the Vampire" 1994 93 800000
"Emma" 1996 121 6000000
"Emmett's Mark" 2002 104 4500000
"Emperor Jones, The" 1933 80 250000
"Emperor Waltz, The" 1948 110 4070248
"Emperor's Club, The" 2002 109 12500000
"Emperor's New Groove, The" 2000 78 100000000
"Empire" 2002 90 3500000
"Empire of the Sun" 1987 154 38000000
"Employees' Entrance" 1933 75 188000
"Empty Building, The" 2004 40 170000
"En la puta vida" 2001 103 1500000
"End of Days" 1999 121 83000000
"End of Suburbia: Oil Depletion and the Collapse of the American Dream, The" 2004 78 60000
"End of Violence, The" 1997 122 5000000
"End of the Affair, The" 1999 102 23000000
"Enemy at the Gates" 2001 131 70000000
"Enemy of the State" 1998 131 90000000
"Enemy, The" 2003 34 250000
"English Patient, The" 1996 160 27000000
"Enough" 2002 115 38000000
"Enraged New World, An" 2002 50 3500
"Enter the Dragon" 1973 99 850000
"Entrapment" 1999 113 66000000
"Envy" 2004 99 40000000
"Epic Tale of Kalesius and Clotho: A Meditation on the Impossibility of Romantic Love in a Rapidly Expanding Universe, The" 2003 27 6000
"Epiphany: Il inferno" 2002 16 10000
"Equilibrium" 2002 107 20000000
"Era of Vampire, The" 2002 90 1000000
"Eraser" 1996 115 100000000
"Eraserhead" 1977 89 10000
"Erin Brockovich" 2000 130 51000000
"Ernest Goes to Camp" 1987 92 3000000
"Ernest Rides Again" 1993 96 7000000
"Ernest Saves Christmas" 1988 95 6000000
"Erotic Adventures of Zorro, The" 1972 102 75000
"Erotica" 1961 68 4000
"Err On the Side of Caution" 1997 94 500000
"Escanaba in da Moonlight" 2001 91 1000000
"Escape from Chernobourg" 1999 75 2000
"Escape from L.A." 1996 101 50000000
"Escape from New York" 1981 99 6000000
"Escape from the Planet of the Apes" 1971 98 2500000
"Eskimo" 1933 117 950000
"Espera, La" 2002 72 100000
"Espinazo del diablo, El" 2001 108 4500000
"Eternal Embrace" 2000 47 96000
"Eternal Sunshine of the Spotless Mind" 2004 108 20000000
"Eulogy" 2004 91 10000000
"EuroTrip" 2004 90 25000000
"Eve's Bayou" 1997 109 5000000
"Evelyn" 2002 94 10000000
"Even Cowgirls Get the Blues" 1993 99 8000000
"EvenHand" 2002 92 500000
"Event Horizon" 1997 96 70000000
"Ever After" 1998 121 26000000
"Ever in My Heart" 1933 68 243000
"Evergon" 2002 32 20000
"Everlasting Piece, An" 2000 103 14000000
"Every Little Girl's Dream" 2002 16 27000
"Everyone Says I Love You" 1996 101 20000000
"Everything Is Everything" 2003 87 10000
"Everything Put Together" 2000 87 500000
"Everything You Always Wanted to Know About Sex * But Were Afraid to Ask" 1972 87 2000000
"Everything in This Country Must" 2004 20 250000
"Everything's Gone Green" 2005 19 30000
"Everything's Jake" 2000 92 900000
"Evil Alien Conquerors" 2002 89 500000
"Evil Cult" 2003 90 15000
"Evil Dead II" 1987 85 3500000
"Evil Dead, The" 1981 86 350000
"Evita" 1996 134 55000000
"Evolution" 2001 101 80000000
"Ex-Lady" 1933 67 93000
"Excessive Force" 1993 90 13000000
"Executive Decision" 1996 134 55000000
"Exit Wounds" 2001 101 33000000
"Exodus" 1960 208 4000000
"Exorcist II: The Heretic" 1977 118 14000000
"Exorcist, The" 1973 132 1000000
"Exorcist: The Beginning" 2004 114 30000000
"Expiration" 2003 102 50000
"Explosion" 1969 98 500000
"Exquisite Corpse" 2004 60 3500
"Extreme Measures" 1996 118 38000000
"Extreme Ops" 2002 94 40000000
"Eye for an Eye" 1996 101 20000000
"Eye of the Beholder" 1999 109 15000000
"Eyes Wide Shut" 1999 159 65000000
"Eyes of Laura Mars" 1978 104 7000000
"F.I.S.T." 1978 145 11000000
"Facade" 2000 93 6000000
"Face to Face" 2003 92 8000
"Face/Off" 1997 133 80000000
"Faces" 1968 130 275000
"Factotum" 2005 94 1000000
"Faculty, The" 1998 104 15000000
"Fahrenheit 9/11" 2004 122 6000000
"Fair Game" 1995 91 50000000
"Fair Wind to Java" 1953 92 1250000
"Fait d'hiver" 2001 6 80000
"Faithful" 1996 91 13000000
"Faithless" 1932 77 203420
"Fake ID" 2003 86 100000
"Fakers" 2004 85 1800000
"Fall" 1997 93 1000000
"Fall" 2000 97 2000000
"Fall of the Roman Empire, The" 1964 184 19000000
"Falling Words" 1997 19 8000
"Falls, The" 2003 85 75000
"Family Affair, A" 1937 69 190000
"Family Man, The" 2000 125 60000000
"Family Plot" 1976 121 3000000
"Fan, The" 1996 114 55000000
"Fando y Lis" 1967 93 100000
"Fandom" 2004 96 5000
"Fantasia" 1940 80 2280000
"Fantasia/2000" 1999 75 80000000
"Fantasma dell'opera, Il" 1998 106 10000000
"Far and Away" 1992 140 30000000
"Far from Heaven" 2002 107 13500000
"Far from India" 2003 101 10000
"Farewell to Arms, A" 1957 152 4353000
"Fargo" 1996 98 7000000
"Fascination" 2004 95 5000000
"Fascist of X-Mart, The" 2003 9 1000
"Fast Food High" 2003 92 4500000
"Fast Times at Ridgemont High" 1982 90 4500000
"Fast and the Furious, The" 1954 73 66000
"Fast and the Furious, The" 2001 106 38000000
"Faster, Pussycat! Kill! Kill!" 1965 83 45000
"Fatal Attraction" 1987 123 14000000
"Father of the Bride Part II" 1995 106 30000000
"Fathers' Day" 1997 98 85000000
"Faust: Love of the Damned" 2001 101 6000000
"Fear No Evil" 1981 99 840000
"Fear X" 2003 91 6600000
"Fear and Desire" 1953 68 20000
"Fear and Loathing in Las Vegas" 1998 118 18500000
"Fear of the Dark" 2001 150 30000
"FearDotCom" 2002 101 42000000
"Fearless Vampire Killers, The" 1967 108 2000000
"Federal Hill" 1994 97 80000
"Fedora" 1978 114 6727000
"Feet First" 1930 93 647000
"Fei ying" 2004 99 15000000
"Female" 1933 58 286000
"Female Trouble" 1974 97 25000
"Femme Fatale" 2002 114 35000000
"Feng yun xiong ba tian xia" 1998 85 10000000
"Festen" 1998 105 1300000
"Fever" 1999 95 6000000
"Fever Pitch" 2001 27 25000
"Fever Pitch" 2005 98 39690000
"Few Good Men, A" 1992 138 33000000
"Fiddler on the Roof" 1971 181 9000000
"Field of Honor, A" 1973 15 1400
"Fifteen Minute Show, The" 2003 87 3500
"Fifth Element, The" 1997 126 90000000
"Fight Club" 1999 139 63000000
"Fightin' Fools" 1941 9 23627
"Fighting Coast Guard" 1951 86 532111
"Fighting Mad" 1976 88 600000
"Film Geek" 2005 78 10000
"Film School Confidential" 2002 82 75000
"Final" 2001 111 80000
"Final Destination" 2000 98 23000000
"Final Destination 2" 2003 90 26000000
"Final Fantasy: The Spirits Within" 2001 106 137000000
"Final Sale" 2004 14 20000
"Final Solution" 2001 110 1500000
"Finders Keepers, Lovers Weepers!" 1968 71 82000
"Finding Forrester" 2000 136 43000000
"Finding Graceland" 1998 106 10000000
"Finding Nemo" 2003 100 94000000
"Finding Neo" 2004 12 8500
"Fine and Dandy" 2003 6 1000
"Finian's Rainbow" 1968 141 3500000
"Fintar o Destino" 1998 77 850000
"Fire Brigade, The" 1926 90 249556
"Fire Dancer" 2002 79 1000000
"Fire Over Afghanistan" 2003 92 155000
"Firefox" 1982 136 21000000
"Firestarter" 1984 101 15000000
"Firestorm" 1998 89 19000000
"Firm, The" 1993 154 42000000
"First Blood" 1982 97 14000000
"First Great Train Robbery, The" 1979 110 6000000
"First Knight" 1995 134 75000000
"First Love, Last Rites" 1997 94 300000
"First Power, The" 1990 98 10000000
"First Wives Club, The" 1996 103 26000000
"First of May, The" 1999 111 2500000
"Fish Burglars" 2004 25 15000
"Fish Called Wanda, A" 1988 108 7500000
"Fish in a Barrel" 2001 85 200000
"Fisher King, The" 1991 137 24000000
"Fishing for Trauster" 2004 24 20000
"Five Graves to Cairo" 1943 96 855000
"Five Guns West" 1955 74 60000
"Fiza" 2000 167 1000000
"Flame Barrier, The" 1958 70 100000
"Flame of Barbary Coast" 1945 91 600000
"Flash Gordon" 1980 111 35000000
"Flats, The" 2002 102 500000
"Flawless" 1999 112 27000000
"Flesh" 1968 105 4000
"Flesh & Blood" 1985 117 6500000
"Flesh Suitcase" 1995 90 1000000
"Flesh and the Devil" 1926 113 373000
"Flesheater" 1988 88 60000
"Flight of the Phoenix" 2004 113 45000000
"Flintstones in Viva Rock Vegas, The" 2000 90 58000000
"Flintstones, The" 1994 91 45000000
"Flip" 2004 15 8000
"Flirting with Disaster" 1996 92 7000000
"Flossin" 2001 81 86000
"Fly, The" 1958 94 500000
"Fly, The" 1986 92 15000000
"Flying Down to Rio" 1933 89 462000
"Flying Dutchman, The" 2001 89 2000000
"Focus Group" 2004 29 8000
"Fog, The" 1980 89 1000000
"Follow Me Home" 1996 100 220000
"Follow Me Outside" 2000 94 1000000
"Follow the Fleet" 1936 110 747000
"Following" 1998 69 6000
"Fomlesen i kattepine" 1999 83 2400000
"Food of the Gods II" 1989 91 3500000
"Foolish Wives" 1922 384 1100000
"Fools for Scandal" 1938 80 1300000
"Footlight Parade" 1933 104 703000
"For Caroline" 2002 18 60000
"For Love of the Game" 1999 137 50000000
"For Me and My Gal" 1942 104 802000
"For Whom the Bell Tolls" 1943 168 3000000
"For Your Eyes Only" 1981 127 28000000
"Forbidden Planet" 1956 98 1900000
"Forced March" 1989 104 2700000
"Foreign Affair, A" 1948 116 1500000
"Foreign Correspondents" 1999 102 500000
"Foreigner, The" 2003 96 20000000
"Forever Amber" 1947 138 6000000
"Forever Lulu" 2000 99 20000000
"Forgotten, The" 2004 94 42000000
"Forrest Gump" 1994 142 55000000
"Forsaken, The" 2001 90 5000000
"Fort Apache" 1948 125 2500000
"Fortress" 1993 95 12000000
"Fortress 2" 1999 92 11000000
"Fortune Cookie, The" 1966 125 3705000
"Forty Shades of Blue" 2005 108 1500000
"Four Dead Batteries" 2004 96 77000
"Four Feathers, The" 2002 125 80000000
"Four Horsemen of the Apocalypse, The" 1921 150 800000
"Four Rooms" 1995 98 4000000
"Four Weddings and a Funeral" 1994 117 6000000
"Four.50" 2003 6 5000
"Frailty" 2001 100 11000000
"Frame of Mind" 2003 20 30000
"Francine St. Claire's Mail" 2002 24 10000
"Francis" 1950 91 150000
"Frankenfish" 2004 84 3000000
"Frankenhooker" 1990 85 2500000
"Frankenstein" 1931 71 291000
"Frankenstein" 1994 123 45000000
"Frankenstein - 1970" 1958 83 110000
"Frankenstein Meets the Spacemonster" 1965 79 60000
"Frankenstein's Daughter" 1958 85 60000
"Frankie and Johnny" 1966 87 4500000
"Fratello sole, sorella luna" 1972 121 3000000
"Freaked" 1993 86 11000000
"Freaks" 1932 64 310607
"Freaky Friday" 2003 97 26000000
"Freddy Got Fingered" 2001 87 15000000
"Freddy Vs. Jason" 2003 97 25000000
"Freddy's Dead: The Final Nightmare" 1991 93 5000000
"Free Money" 1998 91 30000000
"Free, White and 21" 1963 104 40000
"Freedom Downtime" 2001 121 25000
"Freeway" 1996 102 3000000
"Freeway II: Confessions of a Trickbaby" 1999 90 2000000
"Freeze Frame" 2004 99 2000000
"Frei parken" 1998 7 2000
"Freighters of Destiny" 1931 57 39000
"French Connection, The" 1971 104 1800000
"French Quarter Undercover" 1985 84 2500000
"Frenzy" 1972 116 3500000
"Frequency" 2000 118 31000000
"Freud" 1962 139 4000000
"Freud and Darwin Sitting in a Tree" 2000 27 17000
"Frida" 2002 123 12000000
"Friday" 1995 91 3500000
"Friday After Next" 2002 85 20000000
"Friday Night Lights" 2004 117 30000000
"Friday the 13th" 1980 95 700000
"Friday the 13th Part 2" 1981 87 1000000
"Friday the 13th Part 3: 3D" 1982 91 4000000
"Friday the 13th Part VII: The New Blood" 1988 90 3500000
"Friday the 13th Part VIII: Jason Takes Manhattan" 1989 100 5000000
"Friday the 13th: The Final Chapter" 1984 90 1800000
"Friendly Persuasion" 1956 137 3000000
"Fright Night" 1985 106 9000000
"Frisco Jenny" 1932 71 286000
"Fritz the Cat" 1972 80 1000000
"From Beyond" 1986 85 4500000
"From Dusk Till Dawn" 1996 108 20000000
"From Hell" 2001 122 35000000
"From Here to Eternity" 1953 118 1650000
"From Justin to Kelly" 2003 90 12000000
"From Russia with Love" 1963 115 2000000
"Front Page, The" 1974 105 4000000
"Frostbite" 2005 83 2400000
"Frusta e il corpo, La" 1963 87 66500
"Fugitive, The" 1993 130 44000000
"Fukkatsu no hi" 1980 108 16000000
"Full Clip" 2004 95 500000
"Full Frontal" 2002 101 2000000
"Full Metal Jacket" 1987 116 30000000
"Full Monty, The" 1997 91 3500000
"Fun with Dick and Jane" 1977 95 3000000
"Funny Face" 1957 103 3000000
"Funny Girl" 1968 155 14100000
"Fury, The" 1978 118 5500000
"Future of Food, The" 2004 88 750000
"G.I. Jane" 1997 124 50000000
"G.O.R.A." 2004 127 5000000
"Gabbianella e il gatto, La" 1998 75 6000000
"Gaily, Gaily" 1969 107 8000000
"Gal Young 'Un" 1979 105 94000
"Galaxy Quest" 1999 102 45000000
"Galaxy of the Dinosaurs" 1992 65 1250
"Gallavants" 1984 100 5000000
"Gallopin' Gaucho, The" 1928 6 4249
"Game of Their Lives, The" 2005 101 20000000
"Game, The" 1997 128 50000000
"Gamers, The" 2003 15 9000
"Gandhi" 1982 188 22000000
"Gangs of New York" 2002 166 97000000
"Gangster Story" 1960 65 75000
"Ganz und gar" 2003 95 1400000
"Garage Days" 2002 106 6000000
"Garden State" 2004 109 2500000
"Garden of Allah, The" 1936 79 2200000
"Garfield" 2004 80 50000000
"Gathering, The" 2002 83 18000000
"Gattaca" 1997 101 36000000
"Gatto a nove code, Il" 1971 115 1000000
"Gatto nel cervello, Un" 1990 93 100000
"Gauntlet, The" 1977 109 5500000
"Gay Divorcee, The" 1934 107 520000
"Gay by Dawn" 2004 9 8000
"General's Daughter, The" 1999 116 60000000
"Genghis Khan" 2004 120 50000000
"Gentleman's Agreement" 1947 118 2000000
"Gentlemen Prefer Blondes" 1928 75 352000
"George and the Dragon" 2004 93 32000000
"George of the Jungle" 1997 92 55000000
"Georgy Girl" 1966 99 400000
"Geronimo: An American Legend" 1993 115 50000000
"Gerry" 2002 105 3500000
"Get Carter" 2000 104 40000000
"Get Over It" 2001 87 10000000
"Get Shorty" 1995 105 30250000
"Get a Job" 1998 93 750000
"Get on the Bus" 1996 120 2400000
"Getaway, The" 1972 122 3352254
"Gettysburg" 1993 259 25000000
"Ghost" 1990 128 22000000
"Ghost Busters" 1984 107 30000000
"Ghost Ship" 2002 91 35000000
"Ghost Town" 1956 77 100000
"Ghost World" 2000 111 7000000
"Ghost and the Darkness, The" 1996 109 55000000
"Ghost of Slumber Mountain, The" 1918 19 3000
"Ghostbite" 1996 76 250000
"Ghosts of Mars" 2001 98 28000000
"Ghosts of Mississippi" 1996 130 36000000
"Ghosts of the Abyss" 2003 43 13000000
"Ghoulies" 1985 82 1000000
"Ghouls, The" 2003 81 9000
"Giant" 1956 201 5400000
"Giant Gila Monster, The" 1959 74 138000
"Giant Spider Invasion, The" 1975 84 300000
"Giardini dell'Eden, I" 1998 95 4000000
"Gift, The" 2000 111 10000000
"Gigi" 1958 119 3319355
"Gigli" 2003 121 54000000
"Ginger Snaps" 2000 110 5000000
"Ginger Snaps: Unleashed" 2004 94 3500000
"Gingerbread Man, The" 1998 114 25000000
"Giovane Toscanini, Il" 1988 109 14000000
"Girl 6" 1996 108 12000000
"Girl Crazy" 1943 99 1140850
"Girl Missing" 1933 69 107000
"Girl Play" 2004 80 1000000
"Girl Wrestler" 2003 56 230000
"Girl from Missouri, The" 1934 70 511000
"Girl, Interrupted" 1999 127 24000000
"Give My Regards to Broad Street" 1984 108 9000000
"Give and Take, and Take" 2003 80 18000
"Gladiator" 2000 155 103000000
"Glenn Tilbrook: One for the Road" 2004 70 50000
"Glitter" 2001 104 22000000
"Global Heresy" 2002 106 12000000
"Gloria" 1999 108 30000000
"Glory" 1989 122 18000000
"Glove, The" 2003 11 4500
"Gmar Gavi'a" 1991 105 800000
"Go" 1999 103 6500000
"Go Fish" 1994 84 15000
"Go-Between, The" 1970 118 1000000
"Goat on Fire and Smiling Fish" 1999 90 40000
"God's Army" 2000 108 300000
"God's Helper" 2001 10 15000
"Godfather, The" 1972 175 6000000
"Godfather: Part II, The" 1974 200 13000000
"Godfather: Part III, The" 1990 169 54000000
"Gods and Generals" 2003 209 56000000
"Gods and Monsters" 1998 105 3500000
"Godspell" 1973 103 1300000
"Godzilla" 1998 133 125000000
"Gog" 1954 85 250000
"Going Greek" 2001 90 198000
"Going Hollywood" 1933 78 914000
"Gojira" 1954 98 1000000
"Gojira ni-sen mireniamu" 1999 99 1000000
"Gold Diggers of 1933" 1933 96 433000
"Gold Raiders" 1951 56 50000
"Gold Rush, The" 1925 82 923000
"Golden Bowl, The" 2000 130 15000000
"Golden Earrings" 1947 95 1000000
"GoldenEye" 1995 130 80000000
"Goldfinger" 1964 112 3000000
"Goldilocks and the Three Bares" 1963 69 25000
"Goldwyn Follies, The" 1938 120 1800000
"Gone Fishin'" 1997 94 53000000
"Gone in Sixty Seconds" 2000 117 90000000
"Gone with the Wind" 1939 233 3900000
"Gong fu" 2004 99 20000000
"Good Book, The" 1997 81 9000
"Good Boy!" 2003 88 18000000
"Good Burger" 1997 103 9000000
"Good Earth, The" 1937 138 2800000
"Good Girl, The" 2002 93 5000000
"Good Man in Africa, A" 1994 94 20000000
"Good Morning, Vietnam" 1987 119 13000000
"Good Morning... and Goodbye!" 1967 80 55000
"Good News" 1947 93 1662718
"Good Will Hunting" 1997 126 10000000
"Good to Go" 1986 90 1500000
"Goodbye, Mr. Chips" 1969 155 9000000
"Goodfellas" 1990 145 25000000
"Goodnight Irene" 2005 14 15000
"Goodnite Charlie" 2005 119 100000
"Goonies, The" 1985 114 19000000
"Gory Gory Hallelujah" 2003 96 100000
"Gosford Park" 2001 137 15000000
"Gossip" 1953 10 1000
"Gothic Romance, A" 2004 32 5000
"Gothika" 2003 98 40000000
"Grace of My Heart" 1996 116 5000000
"Graduate, The" 1967 105 3000000
"Graduation Day" 1981 96 250000
"Grand Hotel" 1932 112 700000
"Grand Prix" 1966 179 9000000
"Grand Slam" 1933 67 164000
"Grand Theft Auto" 1977 84 602000
"Grandma's Boy" 1922 60 100000
"Granny, The" 1995 85 1000000
"Grave, The" 1996 90 4000000
"Gravesend" 1997 85 65000
"Graveyard Shift" 1990 89 10500000
"Gray's Anatomy" 1996 80 350000
"Grayson" 2004 6 17791
"Grease" 1978 110 6000000
"Great Dictator, The" 1940 124 2000000
"Great Escape, The" 1963 172 4000000
"Great Gabble, The" 2003 11 8000
"Great Gatsby, The" 1974 144 6500000
"Great Lengths" 2004 20 25000
"Great Race, The" 1965 160 12000000
"Great White Hope, The" 1970 103 6000000
"Greatest Show on Earth, The" 1952 152 4000000
"Greatest Story Ever Told, The" 1965 225 20000000
"Green Arrow Fan Film" 2004 3 4000
"Green Berets, The" 1968 141 7000000
"Green Eyes for Anastice" 2004 93 10000
"Green Fields" 1937 99 8000
"Green Mansions" 1959 104 3000000
"Green Mile, The" 1999 188 60000000
"Greenskeeper, The" 2002 90 80000
"Greetings" 1968 88 39000
"Gremlins" 1984 106 11000000
"Gremlins 2: The New Batch" 1990 106 50000000
"Gretchen & the Night Danger" 2004 26 4000
"Grey Owl" 1999 118 30000000
"Grey Zone, The" 2001 108 5000000
"Grim" 1995 86 1000000
"Grimm" 2003 110 3700000
"Grizzly" 1976 97 750000
"Groom Lake" 2002 92 750000
"Groove" 2000 86 500000
"Groove Tube, The" 1974 75 200000
"Grosse Pointe Blank" 1997 107 15000000
"Growin' a Beard" 2003 29 10000
"Grudge, The" 2004 92 10000000
"Gruesome Twosome, The" 1967 72 80000
"Grumpier Old Men" 1995 101 25000000
"Guerra de Canudos" 1997 170 6000000
"Guerre du feu, La" 1981 100 12500000
"Guess Who's Coming to Dinner" 1967 108 4000000
"Guest of Honor, The" 2001 15 30000
"Guinevere" 1999 104 2600000
"Gun Shy" 2000 101 10000000
"Guncrazy" 1992 97 800000
"Gunga Din" 1939 117 1910000
"Gunrunner, The" 1984 78 2000000
"Guns of Navarone, The" 1961 156 6000000
"Gunsmoke Ranch" 1937 53 35000
"Guru, The" 2002 94 11000000
"Guru, the Mad Monk" 1970 62 20000
"Gutter Balls" 2003 29 4000
"Guy Thing, A" 2003 101 20000000
"Guys and Dolls" 1955 152 5500000
"Guyver: Dark Hero" 1994 127 900000
"Gypsy" 1962 143 4000000
"HWY: An American Pastoral" 1969 50 30000
"Habit" 1997 112 200000
"Hacks" 2002 93 200000
"Hair" 1979 121 11000000
"Hairshirt" 1998 89 65000
"Hairspray" 1988 92 2000000
"Half Past Dead" 2002 98 30000000
"Halloween" 1978 101 325000
"Halloween 4: The Return of Michael Myers" 1988 88 5000000
"Halloween 5" 1989 96 5000000
"Halloween H20: 20 Years Later" 1998 85 17000000
"Halloween II" 1981 90 2500000
"Halloween III: Season of the Witch" 1982 96 2500000
"Halloween: Resurrection" 2002 89 15000000
"Halloween: The Curse of Michael Myers" 1995 88 5000000
"Hamlet" 1996 242 18000000
"Hand Behind the Mouse: The Ub Iwerks Story, The" 1999 90 600000
