"category","number","question","requires","result","subject","type","vote_id"
"procedural",219,"On the Motion to Table S.Amdt. 1303 to S. 1217 (Hate Crimes Prevention Act of 1999)","1/2","Motion to Table Agreed to","Motion to Table Wellstone Amdt. No. 1303","On the Motion to Table S.Amdt. 1303 to S. 1217 (Hate Crimes Prevention Act of 1999)","s219-106.1999"
"amendment",22,"On the Amendment S.Amdt. 19 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)","1/2","Amendment Agreed to","Sarbanes Amdt. No. 19","On the Amendment","s22-106.1999"
"procedural",220,"On the Motion to Table S.Amdt. 1306 to S. 1217 (Hate Crimes Prevention Act of 1999)","1/2","Motion to Table Failed","Motion to Table Boxer Amdt. No. 1306","On the Motion to Table S.Amdt. 1306 to S. 1217 (Hate Crimes Prevention Act of 1999)","s220-106.1999"
"amendment",221,"On the Amendment S.Amdt. 1343 to S.Res. 160 (No short title on file)","1/2","Amendment Rejected","Daschle Amendment No. 1343","On the Amendment","s221-106.1999"
"passage",222,"On the Resolution S.Res. 160","1/2","Resolution Agreed to","S.RES.160","On the Resolution","s222-106.1999"
"procedural",223,"On the Motion to Table S.Amdt. 1360 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Murray Amdt. No. 1360","On the Motion to Table S.Amdt. 1360 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","s223-106.1999"
"cloture",224,"Motion to Invoke cloture on Amendment No.1344 to H.R.1501","3/5","Cloture Motion Agreed to","On the Cloture Motion S.Amdt. 1344 to H.R. 1501 (Juvenile Justice Reform Act of 1999)","On the Cloture Motion","s224-106.1999"
"procedural",225,"On the Motion (Motion to Waive the CBA Re: Section 1502 of S.1429)","3/5","Motion Rejected","Motion to Waive the CBA Re: Section 1502 of S.1429","On the Motion to Waive the CBA Re: Section 1502 of S.1429","s225-106.1999"
"amendment",226,"On the Amendment S.Amdt. 1384 to S. 1429 (Taxpayer Refund Act of 1999)","1/2","Amendment Rejected","Moynihan Amendment No. 1384","On the Amendment","s226-106.1999"
"procedural",227,"On the Motion (Motion to Waive C.B.A. Re: Abraham Amdt. No. 1398)","3/5","Motion Rejected","Motion to Waive C.B.A. Re: Abraham Amdt. No. 1398","On the Motion to Waive C.B.A. Re: Abraham Amdt. No. 1398","s227-106.1999"
"procedural",228,"On the Motion (Motion to Waive C.B.A. Re: Baucus Motion to Recommit S. 1429)","3/5","Motion Rejected","Motion to Waive C.B.A. Re: Baucus Motion to Recommit S. 1429","On the Motion to Waive C.B.A. Re: Baucus Motion to Recommit S. 1429","s228-106.1999"
"procedural",229,"On the Motion (Motion to Waive C.B.A. Re: Robb Amdt. No. 1401)","3/5","Motion Rejected","Motion to Waive C.B.A. Re: Robb Amdt. No. 1401","On the Motion to Waive C.B.A. Re: Robb Amdt. No. 1401","s229-106.1999"
"amendment",23,"On the Amendment S.Amdt. 6 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)","1/2","Amendment Agreed to","Cleland Amdt. No. 6","On the Amendment","s23-106.1999"
"procedural",230,"On the Motion (Motion to Waive C.B.A. Re: Gramm Amdt. No. 1405)","3/5","Motion Rejected","Motion to Waive C.B.A. Re: Gramm Amdt. No. 1405","On the Motion to Waive C.B.A. Re: Gramm Amdt. No. 1405","s230-106.1999"
"procedural",231,"On the Motion (Motion to Waive C.B.A. Re: Kennedy Motion to Recommit)","3/5","Motion Rejected","Motion to Waive C.B.A. Re: Kennedy Motion to Recommit","On the Motion to Waive C.B.A. Re: Kennedy Motion to Recommit","s231-106.1999"
"procedural",232,"On the Motion (Motion to Waive CBA Re: Bingaman Amendment No.1462)","3/5","Motion Rejected","Motion to Waive CBA Re: Bingaman Amendment No.1462","On the Motion to Waive CBA Re: Bingaman Amendment No.1462","s232-106.1999"
"amendment",233,"On the Amendment S.Amdt. 1472 to S. 1429 (Taxpayer Refund Act of 1999)","1/2","Amendment Agreed to","Hutchison Amendment No. 1472, As Further Modified","On the Amendment","s233-106.1999"
"procedural",234,"On the Motion (Motion to Waive the CBA Re: Kerry Motion to Recommit S.1429)","3/5","Motion Rejected","Motion to Waive the CBA Re: Kerry Motion to Recommit S.1429","On the Motion to Waive the CBA Re: Kerry Motion to Recommit S.1429","s234-106.1999"
"procedural",235,"On the Motion (Motion to Waive the CBA Re: Frist Amendment No.1467)","3/5","Motion Rejected","Motion to Waive the CBA Re: Frist Amendment No.1467","On the Motion to Waive the CBA Re: Frist Amendment No.1467","s235-106.1999"
"procedural",236,"On the Motion to Table the Motion to Recommit S. 1429","1/2","Motion to Table Motion to Recommit Agreed to","Motion to Table the Lautenberg Motion to Recommit S.1429","On the Motion to Table the Motion to Recommit S. 1429","s236-106.1999"
"procedural",237,"On the Motion to Table the Motion to Recommit S. 1429","1/2","Motion to Table Motion to Recommit Agreed to","Motion to Table Re: Hollings Motion to Recommit S.1429","On the Motion to Table the Motion to Recommit S. 1429","s237-106.1999"
"procedural",238,"On the Motion (Motion to Waive the CBA Re: McCain Amendment No.1397)","3/5","Motion Rejected","Motion to Waive the CBA Re: McCain Amendment No.1397","On the Motion to Waive the CBA Re: McCain Amendment No.1397","s238-106.1999"
"procedural",239,"On the Motion (Motion to Waive the CBA Re: Kennedy Amendment No.1383)","3/5","Motion Rejected","Motion to Waive the CBA Re: Kennedy Amendment No.1383","On the Motion to Waive the CBA Re: Kennedy Amendment No.1383","s239-106.1999"
"procedural",24,"On the Motion to Table S.Amdt. 26 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)","1/2","Motion to Table Failed","Motion to table Rockefeller Amdt. No. 26","On the Motion to Table S.Amdt. 26 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)","s24-106.1999"
"procedural",240,"On the Motion (Motion to Waive the CBA Re: Specter Amendment No.1386)","3/5","Motion Rejected","Motion to Waive the CBA Re: Specter Amendment No.1386","On the Motion to Waive the CBA Re: Specter Amendment No.1386","s240-106.1999"
"procedural",241,"On the Motion (Motion to Waive the CBA Re: Schumer Amendment No.1416)","3/5","Motion Rejected","Motion to Waive the CBA Re: Schumer Amendment No.1416","On the Motion to Waive the CBA Re: Schumer Amendment No.1416","s241-106.1999"
"procedural",242,"On the Motion to Table the Motion to Recommit S. 1429","1/2","Motion to Table Motion to Recommit Agreed to","Motion to Table Robb Motion to Recommit S.1429","On the Motion to Table the Motion to Recommit S. 1429","s242-106.1999"
"procedural",243,"On the Motion (Motion to Waive the CBA Re: Wellstone Motion to Recommit S.1429)","3/5","Motion Rejected","Motion to Waive the CBA Re: Wellstone Motion to Recommit S.1429","On the Motion to Waive the CBA Re: Wellstone Motion to Recommit S.1429","s243-106.1999"
"procedural",244,"On the Motion (Motion to Waive the CBA Re: Conrad Amendment No. 1439)","3/5","Motion Rejected","Motion to Waive the CBA Re: Conrad Amendment No. 1439","On the Motion to Waive the CBA Re: Conrad Amendment No. 1439","s244-106.1999"
"procedural",245,"On the Motion (Motion to Waive the CBA Re: Harkin Amendment No.1454)","3/5","Motion Rejected","Motion to Waive the CBA Re: Harkin Amendment No.1454","On the Motion to Waive the CBA Re: Harkin Amendment No.1454","s245-106.1999"
"amendment",246,"On the Amendment S.Amdt. 1456 to S. 1429 (Taxpayer Refund Act of 1999)","1/2","Amendment Rejected","Ashcroft Amendment No.1456","On the Amendment","s246-106.1999"
"passage",247,"On Passage of the Bill S. 1429","1/2","Bill Passed","S.1429 As Amended","On Passage of the Bill","s247-106.1999"
"passage",248,"On Passage of the Bill S. 335","1/2","Bill Passed","S.335, As amended.","On Passage of the Bill","s248-106.1999"
"procedural",249,"On the Motion to Table S.Amdt. 1500 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Failed","Motion to Table Cochran Amendment No. 1500","On the Motion to Table S.Amdt. 1500 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s249-106.1999"
"procedural",25,"On the Point of Order S.Amdt. 29 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)","3/5","Point of Order Sustained","Is the Gramm Point of Order well taken RE: Gramm Amdt. No. 29","On the Point of Order S.Amdt. 29 to S. 4 (Soldiers', Sailors', Airmen's, and Marines' Bill of Rights Act of 1999)","s25-106.1999"
"procedural",250,"On the Motion to Table S.Amdt. 1506 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Harkin Amendment No. 1506","On the Motion to Table S.Amdt. 1506 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s250-106.1999"
"procedural",251,"On the Motion to Table S.Amdt. 1507 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Failed","Motion to Table Ashcroft Amendment No. 1507","On the Motion to Table S.Amdt. 1507 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s251-106.1999"
"cloture",252,"Motion to Invoke Cloture on Lott Motion to Recommit S. 1233","3/5","Cloture Motion Rejected","On the Cloture Motion S. 1233","On the Cloture Motion","s252-106.1999"
"procedural",253,"On the Motion to Table S.Amdt. 1509 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Roberts Amdt. No. 1509","On the Motion to Table S.Amdt. 1509 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s253-106.1999"
"procedural",254,"On the Motion to Table S.Amdt. 1510 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table McCain Amdt. No. 1510 as modified","On the Motion to Table S.Amdt. 1510 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s254-106.1999"
"procedural",255,"On the Motion to Table S.Amdt. 1514 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Dorgan Amdt. No. 1514","On the Motion to Table S.Amdt. 1514 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s255-106.1999"
"procedural",256,"On the Motion to Table S.Amdt. 1517 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Conrad Amdt. No. 1517","On the Motion to Table S.Amdt. 1517 to S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s256-106.1999"
"amendment",257,"On the Amendment S.Amdt. 1499 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Amendment Agreed to","Amdt. No. 1499 as amended","On the Amendment","s257-106.1999"
"procedural",258,"On the Motion to Table S.Amdt. 1522 to S.Amdt. 1521 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Chafee Amdt. No. 1522","On the Motion to Table S.Amdt. 1522 to S.Amdt. 1521 to S. 1233 (Agriculture, Rural Development, Food and Drug Administration, and Related Agencies Appropriations Act, 2000)","s258-106.1999"
"nomination",259,"On the Nomination PN135: 7 nominations in the Army beginning with Wesley D. Collier and ending with Thomas L. Musselman","1/2","Nomination Confirmed","Conf.-Richard Holbrooke, Rep. to UN; Ambassador to UN/Rep. Secty. Cl.","On the Nomination","s259-106.1999"
"passage",26,"On Passage of the Bill S. 4","1/2","Bill Passed","S. 4 as amended","On Passage of the Bill","s26-106.1999"
"procedural",260,"On the Motion to Table H.R. 2466","1/2","Motion to Table Agreed to","Motion to Table Smith Amendment No. 1569","On the Motion to Table H.R. 2466","s260-106.1999"
"passage",261,"On the Conference Report H.R. 2488","1/2","Conference Report Agreed to","Conference Report to Accompany H.R.2488","On the Conference Report","s261-106.1999"
"nomination",262,"On the Nomination PN148: Adalberto Jose Jordan, of Florida, to be United States District Judge for the Southern District of Florida","1/2","Nomination Confirmed","Confirmation Adalberto Jordan, to be U.S. District Judge","On the Nomination","s262-106.1999"
"nomination",263,"On the Nomination PN175: Marsha J. Pechman, of Washington, to be United States District Judge for the Western District of Washington","1/2","Nomination Confirmed","Confirmation Marsha J. Pechman, to be U.S. District Judge","On the Nomination","s263-106.1999"
"cloture",264,"Motion to Invoke Cloture on the Motion to Proceed to H.R.2084","3/5","Cloture on the Motion to Proceed Rejected","On Cloture on the Motion to Proceed H.R. 2084","On the Cloture Motion","s264-106.1999"
"amendment",265,"On the Amendment S.Amdt. 1621 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Amendment Agreed to","Lott Amendment No. 1621","On the Amendment","s265-106.1999"
"amendment",266,"On the Amendment S.Amdt. 1583 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Amendment Rejected","Robb Amendment No. 1583","On the Amendment","s266-106.1999"
"procedural",267,"On the Motion to Table S.Amdt. 1603 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Failed","Hutchison Amendment No. 1603","On the Motion to Table S.Amdt. 1603 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","s267-106.1999"
"procedural",268,"On the Motion to Table S.Amdt. 1571 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Torricelli Amendment No. 1571","On the Motion to Table S.Amdt. 1571 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","s268-106.1999"
"procedural",269,"On the Motion to Table S.Amdt. 1591 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table the Durbin Amendment No. 1591","On the Motion to Table S.Amdt. 1591 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","s269-106.1999"
"passage",27,"On the Resolution S.Res. 45","1/2","Resolution Agreed to","S. Res.45","On the Resolution","s27-106.1999"
"cloture",270,"Motion to Invoke Cloture on the Motion to Proceed to S.J.Res.33","3/5","Cloture on the Motion to Proceed Agreed to","On Cloture on the Motion to Proceed S.J.Res. 33","On the Cloture Motion","s270-106.1999"
"cloture",271,"Motion to invoke cloture on Amdt. No. 1603 to H.R.2466","3/5","Cloture Motion Rejected","On the Cloture Motion S.Amdt. 1603 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","On the Cloture Motion","s271-106.1999"
"procedural",272,"On the Motion to Table S.Amdt. 1588 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Bryan Amdt. No. 1588","On the Motion to Table S.Amdt. 1588 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","s272-106.1999"
"passage",273,"On the Joint Resolution S.J.Res. 33","1/2","Joint Resolution Passed","S.J.Res.33, As Modified","On the Joint Resolution","s273-106.1999"
"procedural",274,"Whether the Amendment is Germane H.R. 2084","1/2","Amendment Germane","Is the Specified Provision of Amdt. No. 1624 Germane","Whether the Amendment is Germane H.R. 2084","s274-106.1999"
"amendment",275,"On the Amendment S.Amdt. 1677 to H.R. 2084 (Department of Transportation and Related Agencies Appropriations Act, 2000)","1/2","Amendment Rejected","Gorton Amendment No.1677","On the Amendment","s275-106.1999"
"amendment",276,"On the Amendment S.Amdt. 1658 to H.R. 2084 (Department of Transportation and Related Agencies Appropriations Act, 2000)","1/2","Amendment Agreed to","Helms Amendment No.1658","On the Amendment","s276-106.1999"
"passage",277,"On the Conference Report H.R. 2490","1/2","Conference Report Agreed to","H.R. 2490 Conference Report","On the Conference Report","s277-106.1999"
"passage",278,"On Passage of the Bill H.R. 2084","1/2","Bill Passed","H.R. 2084, As Amended","On Passage of the Bill","s278-106.1999"
"passage",279,"On the Conference Report H.R. 2587","1/2","Conference Report Agreed to","H.R. 2587 Conference Report","On the Conference Report","s279-106.1999"
"passage",28,"On Passage of the Bill S. 314","1/2","Bill Passed","Passage of S.314","On Passage of the Bill","s28-106.1999"
"cloture",280,"Motion to Invoke Cloture on S.625","3/5","Cloture Motion Rejected","On the Cloture Motion S. 625","On the Cloture Motion","s280-106.1999"
"cloture",281,"Cloture Motion: Nom. B. T. Stewart of Utah, to be U.S. Dist. Judge: Brian Theadore Stewart, of Utah, to be United States District Judge for the District of Utah vice J. Thomas Greene, retired","3/5","Cloture Motion Rejected","On the Cloture Motion PN455","On the Cloture Motion","s281-106.1999"
"procedural",282,"On the Motion to Proceed PN33: Marsha L. Berzon, of California, to be United States Circuit Judge for the Ninth Circuit","1/2","Motion to Proceed Rejected","Motion to Proceed: Nom. of M. Berzon to be U.S. Circuit Judge","On the Motion to Proceed","s282-106.1999"
"procedural",283,"On the Motion to Proceed PN44: Richard A. Paez, of California, to be United States Circuit Judge for the Ninth Circuit","1/2","Motion to Proceed Rejected","Motion to Proceed: Nom. of R. Paez to be U.S. Circuit Judge","On the Motion to Proceed","s283-106.1999"
"passage",284,"On the Conference Report S. 1059","1/2","Conference Report Agreed to","S.1059 Conference Report","On the Conference Report","s284-106.1999"
"procedural",285,"On the Motion (Motion to Waive C.B.A. Re: Wellstone Amdt. No. 1747)","3/5","Motion Rejected","Motion to Waive C.B.A. Re: Wellstone Amdt. No. 1747","On the Motion to Waive C.B.A. Re: Wellstone Amdt. No. 1747","s285-106.1999"
"procedural",286,"On the Motion to Table S.Amdt. 1757 to H.R. 2684 (Departments of Veterans Affairs and Housing and Urban Development, andand Independent Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Smith (NH) Amdt. No. 1757","On the Motion to Table S.Amdt. 1757 to H.R. 2684 (Departments of Veterans Affairs and Housing and Urban Development, andand Independent Agencies Appropriations Act, 2000)","s286-106.1999"
"procedural",287,"On the Motion to Proceed S.Amdt. 1603 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Motion to Proceed Agreed to","Motion to Proceed to Lott Motion to Reconsider Roll Call No.271","On the Motion to Proceed","s287-106.1999"
"procedural",288,"On the Motion to Reconsider S.Amdt. 1603 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Motion to Reconsider Agreed to","Motion to Reconsider Cloture Vote on Hutchison Amdt. No. 1603","On the Motion to Reconsider S.Amdt. 1603 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","s288-106.1999"
"cloture",289,"Motion to Invoke Cloture on Hutchison Amdt. No 1603","3/5","Cloture Motion Agreed to","On the Cloture Motion S.Amdt. 1603 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","On the Cloture Motion","s289-106.1999"
"passage",29,"On the Resolution S.Res. 7","1/2","Resolution Agreed to","S. Res. 7 As Amended","On the Resolution","s29-106.1999"
"amendment",290,"On the Amendment S.Amdt. 1603 to H.R. 2466 (Department of the Interior and Related Agencies Appropriations Act, 2000)","1/2","Amendment Agreed to","Hutchison Amendment No.1603","On the Amendment","s290-106.1999"
"passage",291,"On Passage of the Bill H.R. 2466","1/2","Bill Passed","H.R.2466 As Amended","On Passage of the Bill","s291-106.1999"
"amendment",292,"On the Amendment S.Amdt. 1789 to H.R. 2684 (Departments of Veterans Affairs and Housing and Urban Development, andand Independent Agencies Appropriations Act, 2000)","1/2","Amendment Agreed to","Wellstone Amdt. No. 1789","On the Amendment","s292-106.1999"
"passage",293,"On the Resolution S.Res. 186","1/2","Resolution Agreed to","S.Res.186","On the Resolution","s293-106.1999"
"passage",294,"On the Resolution S.Res. 187","1/2","Resolution Rejected","S.RES.187","On the Resolution","s294-106.1999"
"passage",295,"On the Conference Report H.R. 2605","1/2","Conference Report Agreed to","H.R. 2605 CONFERENCE REPORT","On the Conference Report","s295-106.1999"
"passage",296,"On the Joint Resolution H.J.Res. 68","1/2","Joint Resolution Passed","H.J.Res. 68","On the Joint Resolution","s296-106.1999"
"amendment",297,"On the Amendment S.Amdt. 1805 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Amendment Agreed to","Gorton Amendment No. 1805","On the Amendment","s297-106.1999"
"procedural",298,"On the Motion to Table S.Amdt. 1804 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Murray Amendment No.1804","On the Motion to Table S.Amdt. 1804 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s298-106.1999"
"procedural",299,"On the Motion to Table S.Amdt. 1809 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Boxer Amdt. No. 1809","On the Motion to Table S.Amdt. 1809 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s299-106.1999"
"procedural",3,"On the Motion (Harkin motion to suspend the rules)","2/3","Motion Rejected","Harkin motion to suspend the rules","On the Motion (Harkin motion to suspend the rules)","s3-106.1999"
"procedural",30,"On the Motion to Table S.Amdt. 32 to S.Amdt. 31 to S. 280 (Education Flexibility Partnership Act of 1999)","1/2","Motion to Table Agreed to","Motion to Table Wellstone Amdt no. 32","On the Motion to Table S.Amdt. 32 to S.Amdt. 31 to S. 280 (Education Flexibility Partnership Act of 1999)","s30-106.1999"
"procedural",300,"On the Motion to Table S.Amdt. 1834 to S.Amdt. 1812 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Hutcinson Amdt. No. 1834","On the Motion to Table S.Amdt. 1834 to S.Amdt. 1812 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s300-106.1999"
"procedural",301,"On the Motion to Table S.Amdt. 1820 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Reid Amdt. No. 1820","On the Motion to Table S.Amdt. 1820 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s301-106.1999"
"procedural",302,"On the Motion to Table S.Amdt. 1821 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Failed","Motion to Table Graham Amdt. No. 1821","On the Motion to Table S.Amdt. 1821 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s302-106.1999"
"procedural",303,"On the Motion to Table S.Amdt. 1813 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Failed","Motion to Table Dodd Amndt. No. 1813","On the Motion to Table S.Amdt. 1813 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s303-106.1999"
"procedural",304,"On the Motion to Table S.Amdt. 1885 to S.Amdt. 1846 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Failed","Motion to Table Coverdell Amdt. No. 1885","On the Motion to Table S.Amdt. 1885 to S.Amdt. 1846 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s304-106.1999"
"amendment",305,"On the Amendment S.Amdt. 1824 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Amendment Agreed to","Collins Amendment No.1824","On the Amendment","s305-106.1999"
"passage",306,"On the Conference Report H.R. 2084","1/2","Conference Report Agreed to","H.R. 2084Conference Report","On the Conference Report","s306-106.1999"
"nomination",307,"On the Nomination PN49: Ronnie L. White, of Missouri, to be United States District Judge for the Eastern District of Missouri","1/2","Nomination Rejected","Ronnie L. White, of Missouri, to be U.S. District Judge, Ninth Circui","On the Nomination","s307-106.1999"
"nomination",308,"On the Nomination PN455: Brian Theadore Stewart, of Utah, to be United States District Judge for the District of Utah vice J. Thomas Greene, retired","1/2","Nomination Confirmed","Confirmation, Brian T. Stewart, of Utah, to be U.S. District Judge","On the Nomination","s308-106.1999"
"nomination",309,"On the Nomination PN147: Raymond C. Fisher, of California, to be United States Circuit Judge for the Ninth Circuit","1/2","Nomination Confirmed","Raymond C. Fisher, of California, to be U.S. Circuit Judge","On the Nomination","s309-106.1999"
"amendment",31,"On the Amendment S.Amdt. 36 to S.Amdt. 35 to S.Amdt. 31 to S. 280","1/2","Amendment Agreed to","Jeffords Amdt no 36","On the Amendment","s31-106.1999"
"amendment",310,"On the Amendment S.Amdt. 2259 to S.Amdt. 1892 to S. 82 (Air Transportation Improvement Act)","1/2","Amendment Rejected","Robb Amdt. No. 2259","On the Amendment","s310-106.1999"
"amendment",311,"On the Amendment S.Amdt. 1922 to S. 82 (Air Transportation Improvement Act)","1/2","Amendment Rejected","Lautenberg Amdt. No. 1922","On the Amendment","s311-106.1999"
"passage",312,"On the Conference Report H.R. 2606","1/2","Conference Report Agreed to","H.R. 2606 Conference Report","On the Conference Report","s312-106.1999"
"amendment",313,"On the Amendment S.Amdt. 1889 to S.Amdt. 1851 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Amendment Agreed to","Nickles Amdt. No. 1889","On the Amendment","s313-106.1999"
"procedural",314,"On the Motion to Table S.Amdt. 2267 to S.Amdt. 1851 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Lautenberg Amdt. No. 2267","On the Motion to Table S.Amdt. 2267 to S.Amdt. 1851 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s314-106.1999"
"procedural",315,"On the Motion to Table S.Amdt. 1819 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Kennedy Amdt. No. 1819","On the Motion to Table S.Amdt. 1819 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s315-106.1999"
"procedural",316,"On the Motion to Table S.Amdt. 2268 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Kennedy Amdt. No. 2268","On the Motion to Table S.Amdt. 2268 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s316-106.1999"
"procedural",317,"On the Motion to Table S.Amdt. 1861 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","1/2","Motion to Table Agreed to","Motion to Table Bingaman Amendment No. 1861","On the Motion to Table S.Amdt. 1861 to S. 1650 (Departments of Labor, Health and Human Services, and Education, and Related Agencies Appropriations Act, 2000)","s317-106.1999"
